ampl.tab 1 10
SV	Entropy	TiltedEntropy	CodeLength	AvgAge	PAvgAge	LBAvgAge	UBAvgAge	PShannonAge	CheckOptimal	CheckP
0	8	8	8	11.499999999999998	11.5	11.5	11.5	11.5	11.5	1
0.5	7.707585554512165	7.785474531781984	7.712449678474445	11.123184755067667	11.857179034514175	11.061378331768248	11.131165268288063	11.79301342856487	11.123184755131419	1.0000000000000002
1	6.221680148117173	6.78170202506542	6.264615130094183	9.269365021643267	10.070512679764303	8.83252022217576	9.34055354895724	10.046375796019854	9.269365021775286	1.0000000000000002
1.5	3.9156976214274164	5.146150826974002	4.042367165328907	6.291942872040561	7.194386243312347	5.373546432141125	6.5235202580623115	7.160345545778616	6.291942872369397	0.9999999999999997
2	2.3181935221603123	3.7226865805209948	2.5102190833051874	3.997785554744376	4.706438813578206	2.9772902832404684	4.41227293032895	4.760227503807854	3.997785554806695	1
2.5	1.4624851691344383	2.769858265448598	1.6871900752115983	2.6455422613011224	3.65638120583945	1.6937277537016575	3.2333922975371303	3.544472465020651	2.645542261324633	1.0000000000000004
3	0.9787017107839935	2.1675180864543813	1.2201815307637354	1.8420897447548332	2.229294584184079	0.9680525661759902	2.6146781012527045	3.027298757557689	1.8420897447554014	1.0000000000000007
3.5	0.679077391214265	1.7679673219313483	0.9275854933653923	1.3251625191714176	1.7800481880523225	0.5186160868213976	2.3003459592517546	2.39183380468427	1.3251625191718537	1.0000000000000002
4	0.4815549992566553	1.4840432622762436	0.7294841553120146	0.9672319311104239	1.5223657082808395	0.22233249888498297	2.1605819349756055	2.2045712600301597	0.9672319311104425	1.0000000000000004
4.5	0.34618730162322064	1.270578248520948	0.587664252437251	0.7054509855093682	1.3625833405297558	0.019280952434830967	2.1291174757637403	1.878127031163534	0.7054509855093811	1.0000000000000018
5	0.25109128887147486	1.1032307683667288	0.4818690592180086	0.5061437697697598	1.2435759174683199	-0.12336306669278774	2.1693372438737732	1.7483252182928184	0.5061437697697593	0.9999999999999977
