ampl.tab 1 2
I	p	tilteddistribution
1	0.8319126321030844	0.5714288104880545
2	0.10398907901288555	0.19422176941404634
3	0.030811578966780905	0.08529200162613212
4	0.012998634876610694	0.04505877138753697
5	0.006655301056824677	0.026842283173552306
6	0.003851447370847613	0.017368592158259765
7	0.002425401259775756	0.011933401795242314
8	0.0016248293595763367	0.00858090898202584
9	0.0011411695913622556	0.006393989297591915
10	0.0008319126321030846	0.004902923565714343
11	0.0006250282735560365	0.003849150501669999
12	0.00048143092135595163	0.003081924126737581
13	0.00037865845794405305	0.0025092042577015265
14	0.0003031751574719695	0.0020724521527810324
15	0.00024649263173424723	0.0017331972217502125
16	0.0002031036699470421	0.001465408694721033
17	0.0001693288483824719	0.0012510273260354014
18	0.00014264619892028196	0.0010772374623117397
19	0.00012128774341785746	0.0009347692326957892
20	0.00010398907901288557	0.0008167987924104745
21	8.982967628799096e-05	0.00071822396093739
22	7.812853419450456e-05	0.0006351754007417042
23	6.837450744662483e-05	0.0005646762457978927
24	6.0178865169493954e-05	0.000504421957658507
25	5.324240845459741e-05	0.00045259667991635405
26	4.733230724300663e-05	0.0004077599249437636
27	4.2265540420824284e-05	0.00036876003319068234
28	3.7896894683996184e-05	0.0003346670771745343
29	3.4110157534260705e-05	0.00030472475400059
30	3.0811578966780903e-05	0.00027831338128622577
31	2.7924964992886586e-05	0.00025492187568871736
32	2.538795874338026e-05	0.00023412606983527604
33	2.314919531689024e-05	0.00021557177177756353
34	2.1166106047808986e-05	0.0001989617293090902
35	1.940321007820605e-05	0.00018404509434776303
36	1.7830774865035244e-05	0.0001706095105611272
37	1.642375835790742e-05	0.000158473608719799
38	1.5160967927232182e-05	0.0001474807335639732
39	1.402438733126122e-05	0.00013749966152612922
40	1.2998634876610697e-05	0.00012841509278403737
41	1.2070524689181591e-05	0.0001201273421083628
42	1.122870953599887e-05	0.00011255002928545866
43	1.046338853312393e-05	0.0001056078224341065
44	9.76606677431307e-06	9.923484806514554e-05
45	9.129356730898046e-06	9.337332141327469e-05
46	8.546813430828104e-06	8.797240780821952e-05
47	8.012797088343474e-06	8.298725642074404e-05
48	7.522358146186744e-06	7.837816797998028e-05
49	7.0711406990546805e-06	7.411000587090286e-05
50	6.655301056824676e-06	7.015168611895211e-05
51	6.271438828980441e-06	6.647468576368256e-05
52	5.916538405375829e-06	6.305466853931486e-05
53	5.587919101695254e-06	5.9869615850176986e-05
54	5.2831925526030355e-06	5.689898832970105e-05
55	5.00022618844829e-06	5.412490448605796e-05
56	4.737111835499523e-06	5.1531302860166916e-05
57	4.492138645105832e-06	4.910373366508414e-05
58	4.263769691782588e-06	4.682886285076688e-05
59	4.050621690158606e-06	4.469462001967629e-05
60	3.851447370847613e-06	4.2689780090467264e-05
61	3.6651201294517366e-06	4.080666580035592e-05
62	3.490620624110823e-06	3.9033242048321006e-05
63	3.327025047703369e-06	3.736299741731126e-05
64	3.1734948429225327e-06	3.578809924749946e-05
65	3.0292676635524244e-06	3.430211011321384e-05
66	2.89364941461128e-06	3.2898685685059895e-05
67	2.7660072286254773e-06	3.1572072380029225e-05
68	2.6457632559761233e-06	3.0317009455025085e-05
69	2.532389164689809e-06	2.912870024036147e-05
70	2.425401259775756e-06	2.800272336026872e-05
71	2.3243561446926314e-06	2.693496756058704e-05
72	2.2288468581294056e-06	2.5921710873587214e-05
73	2.1384994283105477e-06	2.495947621547112e-05
74	2.0529697947384276e-06	2.40450685654021e-05
75	1.9719410538739786e-06	2.317549398412717e-05
76	1.8951209909040228e-06	2.2348054075911226e-05
77	1.8222398645948586e-06	2.156018037128042e-05
78	1.7530484164076525e-06	2.0809506115083545e-05
79	1.6873160786531785e-06	2.0093717719727978e-05
80	1.624829359576337e-06	1.9411170520775778e-05
81	1.5653903859564548e-06	1.8759557710476543e-05
82	1.5088155861476989e-06	1.8137259035053433e-05
83	1.4549344985162037e-06	1.7542599922389956e-05
84	1.4035886919998588e-06	1.6974134028648074e-05
85	1.354630787059775e-06	1.643033266851284e-05
86	1.3079235666404913e-06	1.5909883377895474e-05
87	1.2633391679355817e-06	1.54115324031821e-05
88	1.2207583467891337e-06	1.4934106039222616e-05
89	1.1800698074710865e-06	1.4476518193855323e-05
90	1.1411695913622558e-06	1.4037747186411677e-05
91	1.103960518787327e-06	1.3616820492906901e-05
92	1.068351678853513e-06	1.3212827743636547e-05
93	1.0342579626995037e-06	1.2824917343830045e-05
94	1.0015996360429342e-06	1.24522615845982e-05
95	9.703019473428597e-07	1.209413587823586e-05
96	9.40294768273343e-07	1.1749825024790971e-05
97	9.115122635413609e-07	1.1418684399476085e-05
98	8.838925873818351e-07	1.1100059413870488e-05
99	8.573776043292682e-07	1.0793364522144144e-05
100	8.319126321030846e-07	1.049804120612853e-05
101	8.074462046558088e-07	1.0213564162423975e-05
102	7.839298536225551e-07	9.939444709140116e-06
103	7.613179065796711e-07	9.67519508485311e-06
104	7.395673006719786e-07	9.420377003192947e-06
105	7.18637410303928e-07	9.17456896667792e-06
106	6.984898877119068e-07	8.937373223814488e-06
107	6.790885153444281e-07	8.708411932893594e-06
108	6.603990690753794e-07	8.487327361196739e-06
109	6.423891913641196e-07	8.273780698218204e-06
110	6.250282735560363e-07	8.067449456144051e-06
111	6.082873465891636e-07	7.868027941007525e-06
112	5.921389794374404e-07	7.675227813260886e-06
113	5.765571846799074e-07	7.4887756552778536e-06
114	5.61517330638229e-07	7.3083559222797675e-06
115	5.469960595729988e-07	7.133871529516626e-06
116	5.329712114728235e-07	6.964911957982604e-06
117	5.194217530096751e-07	6.801404647672733e-06
118	5.063277112698258e-07	6.642953789810158e-06
119	4.936701119022504e-07	6.489530554998073e-06
120	4.814309213559516e-07	6.340857559638756e-06
121	4.6959299290461045e-07	6.1967524211185785e-06
122	4.5814001618146707e-07	6.057046056759187e-06
123	4.470564699696887e-07	5.9215770631135216e-06
124	4.363275780138529e-07	5.7901823353838305e-06
125	4.2593926763677926e-07	5.662703237744638e-06
126	4.158781309629211e-07	5.538994174658107e-06
127	4.0613138856507024e-07	5.4189189045951904e-06
128	3.966868553653166e-07	5.302343113529866e-06
129	3.8753290863421967e-07	5.189137775439256e-06
130	3.7865845794405305e-07	5.079181128764211e-06
131	3.7005291694290146e-07	4.972356848690734e-06
132	3.6170617682641e-07	4.868552778599181e-06
133	3.5360858139317045e-07	4.767661933643056e-06
134	3.4575090357818467e-07	4.669582201449392e-06
135	3.3812432336659435e-07	4.57421497672785e-06
136	3.307204069970154e-07	4.481466581701071e-06
137	3.2353108737037835e-07	4.391246171565158e-06
138	3.165486455862261e-07	4.303469059934287e-06
139	3.097656935339989e-07	4.218042239027101e-06
140	3.031751574719695e-07	4.134906442496594e-06
141	2.967702625312397e-07	4.053976302741275e-06
142	2.9054451808657893e-07	3.975171266874536e-06
143	2.8449170393993463e-07	3.89842458329248e-06
144	2.786058572661757e-07	3.823660032328417e-06
145	2.7288126027408563e-07	3.7508448643540173e-06
146	2.6731242853881846e-07	3.6798919361712054e-06
147	2.6189409996498823e-07	3.6107354326869037e-06
148	2.5662122434230345e-07	3.5433265826674684e-06
149	2.5148895345819554e-07	3.477616029593228e-06
150	2.4649263173424733e-07	3.4135447858301378e-06
151	2.4162778735540655e-07	3.3510593716416818e-06
152	2.3689012386300285e-07	3.2901064528928737e-06
153	2.322755121844608e-07	3.2306500017053024e-06
154	2.2777998307435733e-07	3.1726389321087574e-06
155	2.2339971994309272e-07	3.116034000437353e-06
156	2.1913105205095656e-07	3.060784368484825e-06
157	2.1497044804677664e-07	3.0068518192036197e-06
158	2.109145098316473e-07	2.9541921192767696e-06
159	2.069599667294539e-07	2.9027951421093476e-06
160	2.0310366994704213e-07	2.8525341836333327e-06
161	1.9934258730794407e-07	2.8034709202928548e-06
162	1.9567379824455685e-07	2.7558161477030553e-06
163	1.9209448903459026e-07	2.7087849355301358e-06
164	1.8860194826846236e-07	2.663094546967601e-06
165	1.8519356253512192e-07	2.618364634103293e-06
166	1.8186681231452546e-07	2.574695736061869e-06
167	1.7861926806570113e-07	2.5319874876150002e-06
168	1.7544858649998235e-07	2.4902419978335195e-06
169	1.723525070296099e-07	2.449398311110098e-06
170	1.6932884838247188e-07	2.4094685649626558e-06
171	1.6637550537429005e-07	2.370435589876427e-06
172	1.6349044583006141e-07	2.3322441467783806e-06
173	1.6067170764703525e-07	2.2948676089143344e-06
174	1.579173959919477e-07	2.2583138769345784e-06
175	1.5522568062564839e-07	2.222509464515949e-06
176	1.5259479334864171e-07	2.18750558099343e-06
177	1.5002302556142985e-07	2.153230475166945e-06
178	1.475087259338858e-07	2.1196760636803283e-06
179	1.4505029817820436e-07	2.0868071616261807e-06
180	1.4264619892028197e-07	2.054606960995325e-06
181	1.4029493566465794e-07	2.023126184182517e-06
182	1.3799506484841587e-07	1.9923023599610408e-06
183	1.3574518997969392e-07	1.96211339129876e-06
184	1.3354395985668913e-07	1.932520692532102e-06
185	1.3139006686325936e-07	1.9034968857539287e-06
186	1.2928224533743796e-07	1.8750932708578227e-06
187	1.272192700093703e-07	1.8472713137678151e-06
188	1.2519995450536678e-07	1.8199903719745468e-06
189	1.232231499149396e-07	1.7932329265362172e-06
190	1.2128774341785746e-07	1.767039560971599e-06
191	1.193926569684032e-07	1.741340844941615e-06
192	1.1753684603416788e-07	1.7161543603327035e-06
193	1.1571929838685163e-07	1.6914434343042513e-06
194	1.1393903294267011e-07	1.6672227693582278e-06
195	1.1219509865008978e-07	1.6434668515376456e-06
196	1.1048657342272938e-07	1.6201656892260215e-06
197	1.0881256311537503e-07	1.5973010837201912e-06
198	1.0717220054115852e-07	1.574958385316789e-06
199	1.0556464452804722e-07	1.55288933269917e-06
200	1.0398907901288557e-07	1.5313056033817859e-06
201	1.0244471217131398e-07	1.5101299418111181e-06
202	1.009307755819761e-07	1.4893391820049053e-06
